number,abbr,ady,teklip_sany,tema-1-teklip,tema-2-teklip,tema-3-teklip,tema-4-teklip,tema-5-teklip,tema-6-teklip,tema-7-teklip,tema-8-teklip,tema-9-teklip,tema-10-teklip,tema-11-teklip,tema-12-teklip,tema-13-teklip,tema-14-teklip,tema-15-teklip,tema-16-teklip,tema-17-teklip
39,,Mary welaýatynyň häkimliginiň Sakarçäge etrabyndaky hünär-tehniki okuw mekdebi,3,Gahryman Arkadagymyzyň öňe sürrýän tekliplerini ýaşlaryň aňyna ornaşdyrmak makady bilen geçirilýän maslahatlary yzygiderli  geçirmeklik teklip edilýär ,,,HTO- mekdeplerini döwlet tarapyndan maliýeleşdirmegini teklip edilýär,, Sanly bilim ulgamyny okatmagy hasda ösdürmek  teklip edilýär,,,,,,,,,,,
40,,Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,4,Gahryman Arkadagymyzyň eserleriniň many mazmunyny yerine ýetirmek,sanly ulgamy össürmek we kämilleşdirmek,,,,Täze bilim edaralarynda okatmagyň usulyýetini düýpgöter ýokarlandyrmaly ,,,,,,Ýaşlarymyzy milli gymmatlyklarymyza we däp- dessurlarymyza  buýsanyp ýaşar ýaly şertleri we mümkinçilikleri döretmeli,,,,,
41,,Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,8,"Mugallymlaryň, ýolbaşçylaryň we işgärleriň arasynda bilelikdäki mümkinçilikleri ösdürmek",Tehnologiki kuwwaty hasda artdyrmak,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatnamalarny taslamak we ösdürmek,Hususy pudagyň bilimdäki paýyny artdyrmak,,Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek,,,,,Hünär-tehniki okuw mekdeplerini degişli önümçilik edara-kärhanalar bilen özgertmegiň usullary,,,,Başarnyklara esaslanýan bilimi ösdürmek,Hususy bilimi ösdürmek,
42,,Mary welaýatynyň häkimliginiň Baýramaly şäherindäki hünär-tehniki okuw mekdebi,1,11-12-nji synplaryň maksatnamasyny hünär-tehniki bilimiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdebinde dowam etdirmek ,,,,,,,,,,,,,,,,
43,,Mary welaýatynyň häkimliginiň Ýolöten etrabyndaky hünär-tehniki okuw mekdebi,1,,,,,,"Umumy bilim berýän orta mekdepleriň 10-nji synpyny tamamlaýan mekdep okuwçylarynyň isleg bildirýänlerine, orta mekdebiň 11-12-nji synplarynyň maksatnamasyny hünär-tehniki biliminiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdeplerinde dowam etdirmäge mümkinçilik döretmek(tölegli esasynda, diňe hünär bilimi üçin töleg almak şerti bilen)",,,,,,,,,,,
44,,Türkmengala etrap häkimliginiň hünär-tehniki okuw mekdebi,1,,,,,,11-12-nji synplaryň maksatnamasyny hünär-tehniki biliminiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdeplerinde dowam etdirmäge mümkinçilik döretmek.,,,,,,,,,,,
45,,Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,9,Garaşsyz Diýarymyzyň bagtyýar nesilleri baradaky atalyk aladalary üçin Gahryman Arkadagymyza uly minnetdarlyk bildirýäris.,"Okatmagyň usulyýeti dürli ugurlardan hünär bilimini almaklyk üçin döredilen her hili programmalar, kompýuter enjamlarynyň,multimediýa tagtalarynyň peýdalanmaklyga ýardam etmek","Hünär bilimi maksatnamalary anyk ugurda hünär işiniň alnyp barylmagyna we anyk işçi hünärleri ýa-da hünär (taýýarlygyň ugry) boýunça işiň ýerine ýetirilmegine, şeýle hem hünär derejesiniň yzygiderli ýokarlandyrylmagyna mümkinçilik berýän bilimleriň, başarnyklaryň ele alynmagyna ýardam etmek","Döwlet bilim edaralarynyň maliýeleşdirilişi bilim maksatnamalaryň mazmuny okatmagyň tehnologiýalaryny, okatmagyň görnüşlerini saglyk ýagdaýy sebäpli mümkinçilikleri çäkli okaýanlaryň bilim almagynyň ýörite şertlerini, okatmagyň we terbiýelemegiň howpsuz şertlerini üpjün etmek",,"Türkmenistanda bilim ulgamyny kämilleşdirmek, giň gözýetimli innowasion tehnologiýalary dolandyrmaga ukyply ýaşlary terbiýeläp ýetişdirmek boýunça uly işleriň amala aşyrylmagyna ýardam etmek",,,,,Degişli eadara-kärhanalarda hünär-tehniki okuw mekdepleriniň talyplarynyň öz ugry boýunça önümçilik tejribesini geçmeklige ýardam etmek we şert döretmek,,,,"Hünär-tehniki okuw mekdepleriniň guramaçylyk we ykdysady gatnaşyklar pudagynda innowasiýa işlerini ösdürmek, häzirki zaman durmuş-ykdysady şertlerde mekdebiň ösmegi üçin ykdysdy esas döretmek",,"Gahryman Arkadagymyza, Arkadagly Gahryman Serdarymyza türkmen ýaşlarynyň ylymly, bilimli, kämil dünýägaraýyşly bolmagy üçin edýän aladalaryna köp sag bolsun aýdýarys."
46,,Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,6,düşüniriş maslahatlaryny ýygy-ýygydan geçmeli,,"sanly ulgama geçmek, kämilleşdirmek",Bilimi döwlet tarapyndan  maliýeleşdirilmegini üpjün etmegi güýçlendirmek,,"sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek,",,,,,Hünär-tehniki okuw mekdeplerinde önümçilik-tejribelik okuwlaryny kärhanalarda geçmek üçin mümkinçilik döretmek,,,,Hünär-tehniki okuw mekdeplerinde okuw-önümçilik meýilnamalaryny we mugallymlary kämille,,
47,,Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,6,Maslahatlary yzygiderli geçirmeli,Bilim ulgamynda innowasion tehnalogiýalary pugta ornaşdyrmak,,Hünar-tehniki okuw mekdeplarini doly Döwlet býujetine geçirmeli,Ýaşlara dünýa dillerini çuňňur öwretýän gimnaziýalary açmak ,Mekdeplari döwrebap tehnalogiýalar bilen üpjün etmek ,,,,,,,,,,,Arkadagly Serdarymyzyň ýaşlar üçin edýän aladalaryndan ýörelge alyp Bilim ulgamyny kämilleşdirmegiň täze tehnalogiýalaryny girizmek 
48,,Saýat etrap häkimliginiň 5-nji hünär-tehniki okuw mekdebi,1,,,,,,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatlaryny ösdürmek boýunça ussatlyk sapaklaryny guramak.,,,,,,,,,,,
49,,”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,4,Gahryman Arkadagymyzyň öňe süren teklibini ýygy-ýygdan geçirmeli,,Sanly ulgama geçmek,Bilimiň döwlet edaralarynda maliýeleşdirilmegi güýçlendirmek we gowulandyrmak,,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatlaryny ösdürmek boýunça ussatlyk sapaklaryny guramak.,,,,,,,,,,,
50,,Köýtendag etrap häkimliginiň hünär-tehniki okuw mekdebi,3,"2024-nji  ýylyň  24-nji  sentýabrynda  geçirilen  Týrkmenistanyň  Halk  Maslahatynyň  mejlisinde  Gahryman  Arkadagymyzyň  ""Täze  döwür  amala  aşyrýan  özgertmeleri  has-da  giňeldip,  jemgyýetimiziň  aň-bilim  baradaky""  çykyşlaryny  ýaşlaryň  arasynda  işläp  geçmek",,Mekdebe  çenli  çagalar  edaralarynyň  hem-de  umumy  bilim  berýän  orta  mekdepleriniň  sanynyň  artdyrylmagy  esasynda  pedagogik  we  psihologik  işgärleriniň  hünäriniň  derejesiniň  ýokarlandyrmaklygyna  Hünär-tehniki  okuw  mekdeplerinde  hünär  toparlaryny  ýola  goýmak  barada,Hünär-tehniki okuw mekdeplerini salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagy barada,,,,,,,,,,,,,
51,,Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,11,"Gahryman Arkadagymy zyň tabşyryklaryny ýerine ýetirmek maksady bilen,geçiril -meli maslahatlary ýygy - ýygydan gurnamaly",Edara - kärhanalar bilen bilelikdäki Dul (ikitaraplaýyn) okuwy ýola goýmaly,,Bilime berilýän  döwlet maliýe goldawyny güýçlendir -mek ,,Sanly ulgamda onlaýynyň kämil usullaryny döretmek,,,,,Hünärler boýunça beýleki guramalar bilen ylalaşmazdan okatmaklyga rugsat bermekligi ýola goýmak we tejribe okuwlary babatynda döreýän meseleleri aradan aýyrmak,,,,,,
52,,Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,5,Gahryman Arkadagymyzyň öňe süren teklibine laýyklykda geçirilýän maslahatlary geçirmegiň ähmiýetini düşündirmek bilen bagly maslahatlary ýygy ýygydan geçirmek ,,Gutarnykly sanly ykdysady ulgama geçmek,Bilime Döwlet                                                                            tarapyndan maliýe                                                            goldawyny güýçlendirmek,"Umumy bilim berýän                                                                                                                                                                                                                                                                                    orta mekdepleriň                                                                                                                                                                                                                                             (11,12) synp okuwçylaryny                                                                                                                                                                                                                                 hünär öwretmäge çekmek",Sanly ulgamda onlaýn okuwlary guramagyň kämil usullaryny döretmek,,,,,,,,,,,
53,,Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,5,Gahryman Arkadagymyzyň öňe süren teklibine laýyklykda geçirilýän maslahatlary geçirmegiň ähmiýetini düşündirmek bilen bagly maslahatlary ýygy ýygydan geçirmek ,,Gutarnykly sanly ykdysady ulgama geçmek,Bilime Döwlet                                                                            tarapyndan maliýe                                                            goldawyny güýçlendirmek,"Umumy bilim berýän                                                                                                                                                                                                                                                                                    orta mekdepleriň                                                                                                                                                                                                                                             (11,12) synp okuwçylaryny                                                                                                                                                                                                                                 hünär öwretmäge çekmek",Sanly ulgamda onlaýn okuwlary guramagyň kämil usullaryny döretmek,,,,,,,,,,,
54,,Garlyk kaliý dag-magdan toplumynyň Magdanly şäherindäki hünär-tehniki okuw mekdebi,3,"Gahryman Arkadagymyzyň  ýaşlar baradaky syýasatyny öňe sürmek, ýaşalar bilen işlemek",,,Ähli hünär-tehniki okuw mekdepleriniň okuw töleglerini deň derejede bellemek,bilimi kämilleşdirmek barada kurslary açmak,,,,,,,,,,,,
55,,Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,8,Gahryman Arkadagymyzyň teklipleri bilen tanyşdyrmak,Bilim mazmunyna okatmagyň usulyýetine täzeçe guramak,Bilim ulgamynda Milli maksatlary we görkezijileri öwrenmek,Bilimiň döwlet tarapyndan pugtalandyrylan we has durnukly maliýeleşdiril-megini dowamlaş-dyrmak,,Täze tehnologiýalaryň döremegi bilen baglylykda okatmagyň usulyýetini kämilleşdirmek,,,,,Hünär-tehniki okuw mekdeplerinde ylym-bilimiň kämil usulla-ryny öwren-mek,,,,Hünär-tehniki bilimi ösdür-megiň strategi-ýalaryny taýýarlamak,,Jemleýji bölümi
56,,Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,8,"Bilim edaralarynyň mugallymlarynyň hünär şahsyýetini kämilleşdirmäge şert döretmeli, hünär taýdan dowamly ösüşini ýeňilleşdirmäge we talyplar bilen okuw işini alyp barmakda mugallymlara öz pikirlerini we tejiribelerini netijeli ulanmaga mümkinçilik berýän dolandyryş işlerini amala aşyrmak.",Mekdebe  çenli  çagalar  edaralarynyň  hem-de  umumy  bilim  berýän  orta  mekdepleriniň  sanynyň  artdyrylmagy  esasynda  pedagogik  we  psihologik  işgärleriniň  hünäriniň  derejesiniň  ýokarlandyrmaklygyna  Hünär-tehniki  okuw  mekdeplerinde  hünär  toparlaryny  ýola  goýmak  barada,Bilimiň derejelerinde başarnyklara esaslanýan bilim maksatnamalaryny taslamak we ösdürmek hem-de öwrenmegiň adaty reproduktiw usulynda bilimiň konstruktiw başarnylara esaslanýan usulyna geçmegi dowam etmek,Döwlet bilim edaralarynda tölegsiz umumy orta bilimi hem-de bilime berilýän döwlet maliýe goldawyny dowam etdirmek we güýçlendirmek ,,"Sanly bilimiň mümkinçliginden giňden peýdalanmaklygy ýola goýmak, islendik ýerde internete girmek we enjamlary ulanmak mümkinçiligini döretmek",,,,,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak",,,,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak",,"2024-nji  ýylyň  24-nji  sentýabrynda  geçirilen  Týrkmenistanyň  Halk  Maslahatynyň  mejlisinde  Gahryman  Arkadagymyzyň  ""Täze  döwür  amala  aşyrýan  özgertmeleri  has-da  giňeldip,  jemgyýetimiziň  aň-bilim  baradaky""  çykyşlaryny  ýaşlaryň  arasynda  işläp  geçmek"
57,,Türkmenistanyň Ministrler Kabinetiniň ýanyndaky Ulag we kommunikasiýalar agentliginiň “Türkmendemirýollary” agentliginiň Türkmenabat şäherindäki demir ýol hünär-tehniki okuw mekdebi,2,düşüniriş maslahatlaryny ýygy-ýygydan geçmeli,,"sanly ulgama geçmek, kämilleşdirmek",,,,,,,,,,,,,,
58,,Türkmenistanyň Gurluşyk we binagärlik ministrliginiň Türkmenabat gurluşyk hünär-tehniki okuw mekdebi,3,,,,,,Hünär tehniki okuw mekdepleriň ýeketäk saýtyny döretmek.,,,,,Ýokary synp okuwçylaryň hünär okuwlaryny we sapaklaryny hünär tehniki okuw mekdeplerinde okamaga şert döretmek.,,,,ýaragly güýçleriň harby bölümlerinde harby gullugyny geçýän ýaşlaryň arasynda hünäre ugrukdyryş işlerini güýçlendirmek.,,
59,,Hojambaz etrap häkimliginiň  hünär-tehniki okuw mekdebi,1,,,,,,,,,,,Hürnär tehniki okuw mekdeplerini ylym-bilim önümçilik arabaglanyşygynyň kämil usulyny döretmek üçin býujete geçirmegi teklip edýäris.,,,,,,
