name,tema-sany,teklipler
”Türkmenobahyzmat” döwlet birleşiginiň “Balkanobahyzmat” önümçilik birleşiginiň Bereket şäherindäki hünär-tehniki okuw mekdebi,6,Okaýanlaryň zerurlyklaryna yzygiderli gözegçilik edilmeli
Balkan welaýat häkimliginiň Gyzylarbat etrabyndaky hünär-tehniki okuw mekdebi,4,Hünär-tehniki okuw mekdeplerini salgytlardan boşadylmagyny
Balkan welaýat häkimliginiň Gyzylarbat etrabyndaky hünär-tehniki okuw mekdebi,6,Ýaşlaryň orta bilim alýan döwründe utgaşdyryp başlangyç hünär bilimini almaklygy
Balkan welaýat häkimliginiň Gyzylarbat etrabyndaky hünär-tehniki okuw mekdebi,17,Hünär-tehniki okuw mekdeplerini orta hünär okuw mekdebine öwürmekligi
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,1,"Bilim edaralarynyň mugallymlarynyň hünär şahsyýetini kämilleşdirmäge şert döretmeli, hünär taýdan dowamly ösüşini ýeňilleşdirmäge we talyplar bilen okuw işini alyp barmakda mugallymlara öz pikirlerini we tejiribelerini netijeli ulanmaga mümkinçilik berýän dolandyryş işlerini amala aşyrmak."
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,2,Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek.
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,3,Bilimiň derejelerinde başarnyklara esaslanýan bilim maksatnamalaryny taslamak we ösdürmek hem-de öwrenmegiň adaty reproduktiw usulynda bilimiň konstruktiw başarnylara esaslanýan usulyna geçmegi dowam etmek
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,4,Döwlet bilim edaralarynda tölegsiz umumy orta bilimi hem-de bilime berilýän döwlet maliýe goldawyny dowam etdirmek we güýçlendirmek 
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,6,"Sanly bilimiň mümkinçliginden giňden peýdalanmaklygy ýola goýmak, islendik ýerde internete girmek we enjamlary ulanmak mümkinçiligini döretmek"
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,11,Bilim edaralarynda täze gazanan üstünlikliklerinden netijeli peýdalanmaklygy we talyplaryň okaýan hünärleri bilen baglanyşykly edara-kärhanlarynda önümçilik tejiribelerini geçmekligini hem-de talyplaryň önümçilik tejiribeliklerini geçi'ine berk gözegçilik etmek bilen edara-kärhanalar bilen ýakyn arabaglanyşygy ýola goymak.
Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,15,"""Türkmenistanda ylym ulgamyny ösdürmegiň 2024-2025-nji ýyllar üçin strategiýasyna"" esaslanyp hünär-tehniki okuw mekdepleri ösdürmegiň strategiýasyny işläp taýýarlamaly hem-de bu babatda hünär-tehniki okuw mekdepleriniň arasynda ýakyn arabaglanyşygy ýola goymak"
Daşoguz welaýat häkimliginiň garamagyndaky 1-nji hünär-tehniki okuw mekdebi,11,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny döretmekde bilim alýan hünäri boýunça degişli edara-kärhanalarda önümçilik tejribeliginiň möhletini uzaltmak;
Daşoguz welaýat häkimliginiň garamagyndaky 1-nji hünär-tehniki okuw mekdebi,15,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarlamakda dünýäniň öňdebaryjy bilim edaralary bilen hyzmatdaşlygy artdyrmak;  
Daşoguz welaýat häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,1,"ýaş nesilleri milli gymmatlyklarymyza, däp-dessurlarymyza buýsanç ruhunda, ynsanperwer kadalarymyz esasynda terbiýelemek üçin meşhur şahsyýetlerimiziň ýadygärliklerini ebedileşdirmek boýunça degişli işleri alyp barmaly"
Daşoguz welaýat häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,11,"Ylmyň we tehnikanyň örän çalt depginlerde ösmegi, täze tehnologiýalaryň döremegi bilen baglylykda, bilim edaralarynda okatmagyň usulyýetini kämilleşdirmek"
Boldumsaz etrap  häkimliginiň garamagyndaky 3-nji hünär-tehniki okuw mekdebi,11,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly 
Boldumsaz etrap  häkimliginiň garamagyndaky 3-nji hünär-tehniki okuw mekdebi,15,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarlamaklygy çaltlaşdyrmaly
Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,2,Sanly tehnologiýalary ulanmagyň netijesinde ýaşlarda göwniçökgünlik duýgylaaryny döremeginiň öňüni almak çäreleri meýilleşdirmek. 
Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,3,Bilim edaralarynyň özbaşdaklygyny goldamak.
Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,4,Sanly bilimde deňsizligi aradan aýyrmak üçin serişdeleri bölüp bermek.
Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,6,Bilim işiniň merkezinde okaýanlary goýýan usula tapgyrlaýyn geçmek.
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,1,Talyp ýaşlaryň döredijiligini we başarnygyny ýokarlandyrmak
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,2,Bilim başarnyklaryny öňe sürmek
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,3,Okaýanlaryň öz islegini beýan edip bilmegi we öňünde goýan maksatlary amala aşyrmak
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,4,Döwlet maliýe goldawy bermegi dowam etmek
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,6,Sanly we tehnologiki ösüş üçin mümkinçiliklri döretmek
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,15,Dual(ikitaraplaýyn) hünär bilimini ornaşdyrmak
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,16,Tälimçilik terbýieçilik işleri şahsy we toparlaýyn okuwlar arkaly ösdürmek
“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,17,Ähli toparlaryň pikirlerini we maglumatlaryny toplamak we jemlemek
Görogly etrap  häkimliginiň garamagyndaky 5-nji hünär-tehniki okuw mekdebi,6,Mugallymlaryň barha tizleşýän durmuş we tehnologiki özgertmelerden baş alyp çykarmaklyga gönükdirmek.
Köneürgenç etrap  häkimliginiň garamagyndaky 6-njy hünär-tehniki okuw mekdebi,11,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly 
Köneürgenç etrap  häkimliginiň garamagyndaky 6-njy hünär-tehniki okuw mekdebi,15,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarla     maklygy çaltlaşdyr     maly
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,1,Talyp ýaşlaryň döredijiligini we başarnyklaryny ýokarlandyrmak 
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,2,Bilimiň başarnyklaryny öňe sürmek
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,3,Okaýanlaryn öz isleglerini beýan edip bilmekligi we öňünde goýlan maksatlary amala aşyrmak
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,4,Döwlet maliýe goldawyny bermegi dowam etdirmek 
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,6,Sanly we tehnologik ösüş üçin mümkinçilikleri döretmek
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,11,Dual hünär bilimini ornaşdurmak
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,15,"Tälimçilik, terbiýeçilik işleri şahsy we toparlaýyn okuwlar arkaly ösdürmek "
”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,17,Ähli taraplaryň pikirlarini we maglumatlaryny toplamak we jemlemek
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň öňe süren tekliplerinden ugur alyp ýaşlaryň arasynda teklipleriň many-mazmunyny düşündirmek maksady bilen yzygider maslahatlary geçirmek ähmiýetini düşündirmek bilen bagly maslahatlar;
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,2,Bilim ulgamynda öňdebaryjy döwletleriň ýaşlara bilim bermekde we okatmakda usulyýetlerini ornaşdyrmak 
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,3," Ýaşlaryň bilim ulgamynda halkara bäsleşiklere gatnaşmaklaryny artdyryp, baýrakly orunlary gazanmaklaryny ýola goýmaly"
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,4,Ýurdumyzyň bilim ulgamyny pugtalandyrmaklyga höweslendirmekde ähli görkezijileri öňdebaryjy bolan bilim edaralaryna grantlaryň berilişini ýola goýmak 
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,6,Her bir bilim edaralarynda tehnologiki merkezlerini döretmek
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,11,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny döretmekde bilim alýan hünäri boýunça degişli edara-kärhanalarda önümçilik tejribeliginiň möhletini uzaltmak;
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,15,Ýokary bilimi ösdürmegiň Strategiýasyny taýýarlamakda dünýäniň öňdebaryjy bilim edaralary bilen hyzmatdaşlygy artdyrmak;  
Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,17,Ähli taraplaryň pikirlarini we maglumatlaryny toplamak we jemlemek
Saparmyrat Türkmenbaşy etrap  häkimliginiň 8-nji hünär-tehniki okuw mekdebi,11,Ýokary okuw mekdeplerinde ylym-bilim-önümçilik arabaglanyşygynyň kämil usulyny ýola goýmaly 
Saparmyrat Türkmenbaşy etrap  häkimliginiň 8-nji hünär-tehniki okuw mekdebi,16,Intellektual eýeçilik ulgamyny ösdürmegiň Konsepsiýasyny durmuşa geçirmekligi teklip edýäris 
Boldumsaz etrap  häkimliginiň garamagyndaky 9-njy  hünär-tehniki okuw mekdebi,3,Hünär tehniki bilim edaralarynda milli maksatnamalary we görkezijileri kesgitlemek boýunça işleri alyp barmak
Boldumsaz etrap  häkimliginiň garamagyndaky 9-njy  hünär-tehniki okuw mekdebi,3,Bilim bilen önümçiligiň işini utgaşdyrýan anyk mehanizi döretmeli
Boldumsaz etrap  häkimliginiň garamagyndaky 9-njy  hünär-tehniki okuw mekdebi,3,Watan gullugyna gitmedik talyp oglanlary okuwy tamamlanýança harby borçlylykdan boşadylmagy
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň eserleriniň many mazmunyny yerine ýetirmek
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,2,Sanly ulgamy össürmek we kämilleşdirmek
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,3,Milli maksatnamalary bilim ulgamyna ornaşdyrmaga ýardam bermek
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,4,Mugallymlaryň zähmet haklaryny býudjetden maliýeleşdirmek
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,6,Okuw sapaklarynyň maglumatlaryny gerekli programma üpjinçiligi arkaly talyplaryň islendik ýerde özleşdirmäge mümkinçilik döretýan programma üpjinçiligini döretmek
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,11,Ýokary önümçilik edaralary bilen arabaglanşygy ýola goýmaly
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,15,Hünär tehniki bilim bermegiň Strategiýasyny ornaşdyrmaly
Türkmenistanyň Energetika ministrliginiň Mary şäherindäki hünär-tehniki okuw mekdebi,17,2024-nji ýylyň dekabr aýynda Milli maslahatlaşmalaryň jemleýji maslahatyny geçirmeli
Garagum etrap häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,11,Okuwlaryň möhleti 1 (bir) okuw ýylyndan köp bolmasa indiki täze okuw ýylynda ýokary okuw jaýyna isleg arzuwy boýunça talyplyga dalaşgär bolmaga mümkinçilik döredýär. ( Ähli ýaşlaryň arzuwy).
Garagum etrap häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,15, Mekdebiň ( hünär-tehniki) okuw-maddy bazasy boýunça hünär okuwlary okatmaga rugsat berilse gowy boljakdy .
S.A. Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň  Tagtabazar etrabyndaky hünär-tehniki okuw mekdebi,6,Täze bilim edaralarynda okatmagyň usulyýetini düýpgöter ýokarlandyrmaly 
S.A. Nyýazow adyndaky Türkmen oba hojalyk uniwersitetiniň  Tagtabazar etrabyndaky hünär-tehniki okuw mekdebi,12,Ýaşlarymyzy milli gymmatlyklarymyza we däp- dessurlarymyza  buýsanyp ýaşar ýaly şertleri we mümkinçilikleri döretmeli
Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Mary şäherindäki hünär-tehniki okuw mekdebi,1, Okatmagyň usulyýetini kämilleşdirmek; 
”Türkmenobahyzmat” döwlet birleşiginiň “Maryobahyzmat” önümçilik birleşiginiň Baýramaly etrabyndaky hünär-tehniki okuw mekdebi,1, Okatmagyň usulyýetini kämilleşdirmek; 
Mary welaýatynyň häkimliginiň Sakarçäge etrabyndaky hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň öňe sürrýän tekliplerini ýaşlaryň aňyna ornaşdyrmak makady bilen geçirilýän maslahatlary yzygiderli  geçirmeklik teklip edilýär 
Mary welaýatynyň häkimliginiň Sakarçäge etrabyndaky hünär-tehniki okuw mekdebi,4,HTO- mekdeplerini döwlet tarapyndan maliýeleşdirmegini teklip edilýär
Mary welaýatynyň häkimliginiň Sakarçäge etrabyndaky hünär-tehniki okuw mekdebi,6, Sanly bilim ulgamyny okatmagy hasda ösdürmek  teklip edilýär
Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň eserleriniň many mazmunyny yerine ýetirmek
Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,2,Sanly ulgamy össürmek we kämilleşdirmek
Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,6,Täze bilim edaralarynda okatmagyň usulyýetini düýpgöter ýokarlandyrmaly 
Mary welaýatynyň häkimliginiň Mary etrabyndaky hünär-tehniki okuw mekdebi,12,Ýaşlarymyzy milli gymmatlyklarymyza we däp- dessurlarymyza  buýsanyp ýaşar ýaly şertleri we mümkinçilikleri döretmeli
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,1,"Mugallymlaryň, ýolbaşçylaryň we işgärleriň arasynda bilelikdäki mümkinçilikleri ösdürmek"
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,2,Tehnologiki kuwwaty hasda artdyrmak
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,3,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatnamalarny taslamak we ösdürmek
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,4,Hususy pudagyň bilimdäki paýyny artdyrmak
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,6,Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,11,Hünär-tehniki okuw mekdeplerini degişli önümçilik edara-kärhanalar bilen özgertmegiň usullary
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,15,Başarnyklara esaslanýan bilimi ösdürmek
Mary welaýatynyň häkimliginiň Murgap etrabyndaky hünär-tehniki okuw mekdebi,16,Hususy bilimi ösdürmek
Mary welaýatynyň häkimliginiň Baýramaly şäherindäki hünär-tehniki okuw mekdebi,1,11-12-nji synplaryň maksatnamasyny hünär-tehniki bilimiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdebinde dowam etdirmek 
Mary welaýatynyň häkimliginiň Ýolöten etrabyndaky hünär-tehniki okuw mekdebi,6,"Umumy bilim berýän orta mekdepleriň 10-nji synpyny tamamlaýan mekdep okuwçylarynyň isleg bildirýänlerine, orta mekdebiň 11-12-nji synplarynyň maksatnamasyny hünär-tehniki biliminiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdeplerinde dowam etdirmäge mümkinçilik döretmek(tölegli esasynda, diňe hünär bilimi üçin töleg almak şerti bilen)"
Türkmengala etrap häkimliginiň hünär-tehniki okuw mekdebi,6,11-12-nji synplaryň maksatnamasyny hünär-tehniki biliminiň maksatnamasy bilen bilelikde hünär-tehniki okuw mekdeplerinde dowam etdirmäge mümkinçilik döretmek.
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,1,Garaşsyz Diýarymyzyň bagtyýar nesilleri baradaky atalyk aladalary üçin Gahryman Arkadagymyza uly minnetdarlyk bildirýäris.
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyzyň okuw kitaplaryny sapaklarda yzygiderli giňişleýin öwrenmeli.
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,2,"Okatmagyň usulyýeti dürli ugurlardan hünär bilimini almaklyk üçin döredilen her hili programmalar, kompýuter enjamlarynyň,multimediýa tagtalarynyň peýdalanmaklyga ýardam etmek"
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,3,"Hünär bilimi maksatnamalary anyk ugurda hünär işiniň alnyp barylmagyna we anyk işçi hünärleri ýa-da hünär (taýýarlygyň ugry) boýunça işiň ýerine ýetirilmegine, şeýle hem hünär derejesiniň yzygiderli ýokarlandyrylmagyna mümkinçilik berýän bilimleriň, başarnyklaryň ele alynmagyna ýardam etmek"
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,4,"Döwlet bilim edaralarynyň maliýeleşdirilişi bilim maksatnamalaryň mazmuny okatmagyň tehnologiýalaryny, okatmagyň görnüşlerini saglyk ýagdaýy sebäpli mümkinçilikleri çäkli okaýanlaryň bilim almagynyň ýörite şertlerini, okatmagyň we terbiýelemegiň howpsuz şertlerini üpjün etmek"
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,6,"Türkmenistanda bilim ulgamyny kämilleşdirmek, giň gözýetimli innowasion tehnologiýalary dolandyrmaga ukyply ýaşlary terbiýeläp ýetişdirmek boýunça uly işleriň amala aşyrylmagyna ýardam etmek"
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,11,Degişli eadara-kärhanalarda hünär-tehniki okuw mekdepleriniň talyplarynyň öz ugry boýunça önümçilik tejribesini geçmeklige ýardam etmek we şert döretmek
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,15,"Hünär-tehniki okuw mekdepleriniň guramaçylyk we ykdysady gatnaşyklar pudagynda innowasiýa işlerini ösdürmek, häzirki zaman durmuş-ykdysady şertlerde mekdebiň ösmegi üçin ykdysdy esas döretmek"
Türkmenabat şäher häkimliginiň Türkmenistanyň Gahrymany Gurbansoltan eje adyndaky 1-nji hünär-tehniki okuw mekdebi,17,"Gahryman Arkadagymyza, Arkadagly Gahryman Serdarymyza türkmen ýaşlarynyň ylymly, bilimli, kämil dünýägaraýyşly bolmagy üçin edýän aladalaryna köp sag bolsun aýdýarys."
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,1,Düşüniriş maslahatlaryny ýygy-ýygydan geçmeli
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,3,"Sanly ulgama geçmek, kämilleşdirmek"
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,4,Bilimi döwlet tarapyndan  maliýeleşdirilmegini üpjün etmegi güýçlendirmek
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,6,"Sanly we tehnologik ösüş üçin bilim edaralarynda mümkinçilikleri döretmek,"
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,11,Hünär-tehniki okuw mekdeplerinde önümçilik-tejribelik okuwlaryny kärhanalarda geçmek üçin mümkinçilik döretmek
Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,15,Hünär-tehniki okuw mekdeplerinde okuw-önümçilik meýilnamalaryny we mugallymlary kämille
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,1,Maslahatlary yzygiderli geçirmeli
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,2,Bilim ulgamynda innowasion tehnalogiýalary pugta ornaşdyrmak
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,4,Hünar-tehniki okuw mekdeplarini doly Döwlet býujetine geçirmeli
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,5,Ýaşlara dünýa dillerini çuňňur öwretýän gimnaziýalary açmak 
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,6,Mekdeplari döwrebap tehnalogiýalar bilen üpjün etmek 
Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,17,Arkadagly Serdarymyzyň ýaşlar üçin edýän aladalaryndan ýörelge alyp Bilim ulgamyny kämilleşdirmegiň täze tehnalogiýalaryny girizmek 
Saýat etrap häkimliginiň 5-nji hünär-tehniki okuw mekdebi,6,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatlaryny ösdürmek boýunça ussatlyk sapaklaryny guramak.
”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,1,Gahryman Arkadagymyzyň öňe süren teklibini ýygy-ýygdan geçirmeli
”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,3,Sanly ulgama geçmek
”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,4,Bilimiň döwlet edaralarynda maliýeleşdirilmegi güýçlendirmek we gowulandyrmak
”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,6,Bilimiň ähli derejelerinde başarnyklara esaslanýan bilim maksatlaryny ösdürmek boýunça ussatlyk sapaklaryny guramak.
Köýtendag etrap häkimliginiň hünär-tehniki okuw mekdebi,1,"2024-nji  ýylyň  24-nji  sentýabrynda  geçirilen  Týrkmenistanyň  Halk  Maslahatynyň  mejlisinde  Gahryman  Arkadagymyzyň  ""Täze  döwür  amala  aşyrýan  özgertmeleri  has-da  giňeldip,  jemgyýetimiziň  aň-bilim  baradaky""  çykyşlaryny  ýaşlaryň  arasynda  işläp  geçmek"
Köýtendag etrap häkimliginiň hünär-tehniki okuw mekdebi,3,Mekdebe  çenli  çagalar  edaralarynyň  hem-de  umumy  bilim  berýän  orta  mekdepleriniň  sanynyň  artdyrylmagy  esasynda  pedagogik  we  psihologik  işgärleriniň  hünäriniň  derejesiniň  ýokarlandyrmaklygyna  Hünär-tehniki  okuw  mekdeplerinde  hünär  toparlaryny  ýola  goýmak  barada
Köýtendag etrap häkimliginiň hünär-tehniki okuw mekdebi,4,Hünär-tehniki okuw mekdeplerini salgytlaryň we ýygymlaryň ähli görnüşlerinden boşadylmagy barada
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,1,"Gahryman Arkadagymy zyň tabşyryklaryny ýerine ýetirmek maksady bilen,geçiril -meli maslahatlary ýygy - ýygydan gurnamaly"
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,2,Edara - kärhanalar bilen bilelikdäki Dul (ikitaraplaýyn) okuwy ýola goýmaly
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,4,Bilime berilýän  döwlet maliýe goldawyny güýçlendirmek 
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,4,Hünär – tehniki okuw mekdepleriniň okuw tölegleriniň möçberini her ýylda 10 % (göterim) çenli götermeklige degişli ýokary gurama teklip etmeli.
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,4,"Hünär – tehniki okuw mekdeplerini ähli salgytlardan we ýygymlardan
boşatmaly."
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,6,Sanly ulgamda onlaýynyň kämil usullaryny döretmek
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,6,"Orta mekdeplerdäki hünär okuwlaryny hünär – tehniki okuw mekdeplerine
bermeli."
Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,6,"umumy bilim berýän orta mekdepleriň 10-njy synpyny tamamlaýan mekdep
okuwçylarynyň isleg bildirýänlerine, orta mekdebiň 11-12 – nji synplarynyň
maksatnamasyny hünär – tehniki biliminiň maksatnamasy bilen bilelikde hünär –
tehniki okuw mekdeplerinde dowam etmäge mümkinçilik döretmeli."
